"Name","POS","Age","HT","WT","NAT","APP","SUB","SV","GA","A","FC","FA","YC","RC","G","SH","ST","Team"
"Alisson Becker1","G","32","6' 4""","201 lbs","Brazil","8","0","18","7","0","0","0","0","0",NA,NA,NA,"liverpool"
"Vitezslav Jaros56","G","23","6' 3""","192 lbs","Czechia","1","1","1","0","0","0","0","0","0",NA,NA,NA,"liverpool"
"Caoimhín Kelleher62","G","26","6' 2""","161 lbs","Republic of Ireland","8","0","23","9","0","0","1","0","0",NA,NA,NA,"liverpool"
"Harvey Davies95","G","21","6' 3""","170 lbs","England","0","0","0","0","0","0","0","0","0",NA,NA,NA,"liverpool"
"Joe Gomez2","D","27","6' 2""","174 lbs","England","7","3",NA,NA,"0","1","3","0","0","0","3","2","liverpool"
"Virgil van Dijk4","D","33","6' 5""","203 lbs","Netherlands","16","0",NA,NA,"1","7","4","1","0","1","10","2","liverpool"
"Ibrahima Konaté5","D","25","6' 4""","207 lbs","France","12","1",NA,NA,"1","9","5","4","0","1","8","2","liverpool"
"Kostas Tsimikas21","D","28","5' 10""","170 lbs","Greece","6","4",NA,NA,"0","3","1","0","0","0","1","0","liverpool"
"Andrew Robertson26","D","30","5' 10""","139 lbs","Scotland","15","1",NA,NA,"0","5","3","1","1","0","4","2","liverpool"
"Amara Nallo65","D","18","6' 1""","159 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","liverpool"
"Trent Alexander-Arnold66","D","26","5' 9""","148 lbs","England","15","1",NA,NA,"4","4","6","3","0","0","14","2","liverpool"
"James Norris77","D","21","5' 8""","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","liverpool"
"Jarell Quansah78","D","21","6' 3""","183 lbs","England","4","2",NA,NA,"0","6","1","1","0","0","0","0","liverpool"
"Conor Bradley84","D","21","5' 11""","139 lbs","Northern Ireland","7","6",NA,NA,"0","4","3","1","0","0","5","2","liverpool"
"Wataru Endo3","M","31","5' 10""","168 lbs","Japan","6","6",NA,NA,"0","2","1","0","0","0","0","0","liverpool"
"Dominik Szoboszlai8","M","24","6' 1""","161 lbs","Hungary","16","4",NA,NA,"2","19","11","4","0","2","26","9","liverpool"
"Alexis Mac Allister10","M","25","5' 9""","150 lbs","Argentina","15","2",NA,NA,"0","22","14","5","0","1","11","6","liverpool"
"Curtis Jones17","M","23","6' 1""","172 lbs","England","13","6",NA,NA,"1","7","13","1","0","2","13","7","liverpool"
"Harvey Elliott19","M","21","5' 7""","139 lbs","England","4","4",NA,NA,"0","0","0","0","0","0","1","0","liverpool"
"Ryan Gravenberch38","M","22","6' 3""","183 lbs","Netherlands","16","0",NA,NA,"1","26","30","4","0","0","7","2","liverpool"
"James McConnell53","M","20","5' 9""","141 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","liverpool"
"Tyler Morton80","M","22","6' 0""","163 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","liverpool"
"Trey Nyoni98","M","17","5' 11""","163 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","liverpool"
"Luis Díaz7","F","27","5' 10""","141 lbs","Colombia","16","5",NA,NA,"2","23","14","1","0","7","31","15","liverpool"
"Darwin Núñez9","F","25","6' 2""","179 lbs","Uruguay","13","7",NA,NA,"2","15","10","4","0","2","17","7","liverpool"
"Mohamed Salah11","F","32","5' 9""","157 lbs","Egypt","16","0",NA,NA,"12","9","22","1","0","15","57","29","liverpool"
"Federico Chiesa14","F","27","5' 9""","152 lbs","Italy","1","1",NA,NA,"0","1","1","0","0","0","1","0","liverpool"
"Cody Gakpo18","F","25","6' 4""","168 lbs","Netherlands","16","8",NA,NA,"1","8","8","4","0","3","24","8","liverpool"
"Diogo Jota20","F","28","5' 10""","150 lbs","Portugal","9","2",NA,NA,"2","10","9","1","0","3","17","4","liverpool"
"Rio Ngumoha73","F","16","--","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","liverpool"
"Jayden Danns76","F","18","6' 0""","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","liverpool"
"Ranel Young82","F","18","5' 9""","141 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","liverpool"
"Robert Sánchez1","G","27","6' 6""","196 lbs","Spain","16","0","53","18","0","2","2","4","0",NA,NA,NA,"chelsea"
"Filip Jørgensen12","G","22","6' 3""","185 lbs","Denmark","1","0","3","1","0","0","0","0","0",NA,NA,NA,"chelsea"
"Marcus Bettinelli13","G","32","6' 4""","181 lbs","England","0","0","0","0","0","0","0","0","0",NA,NA,NA,"chelsea"
"Lucas Bergstrom47","G","22","6' 9""","181 lbs","Finland","--","--","--","--","--","--","--","--","--",NA,NA,NA,"chelsea"
"Max Merrick50","G","19","5' 9""","152 lbs","England","--","--","--","--","--","--","--","--","--",NA,NA,NA,"chelsea"
"Axel Disasi2","D","26","6' 3""","183 lbs","France","4","1",NA,NA,"0","2","0","1","0","1","1","1","chelsea"
