"Name","POS","Age","HT","WT","NAT","APP","SUB","SV","GA","A","FC","FA","YC","RC","G","SH","ST","Team"
"Kepa Arrizabalaga13","G",30,"6' 2""","183 lbs","Spain",12,0,42,16,0,0,2,2,0,NA,NA,NA,"afc_bournemouth"
"William Dennis40","G",24,"6' 2""","183 lbs","England",0,0,0,0,0,0,0,0,0,NA,NA,NA,"afc_bournemouth"
"Mark Travers42","G",25,"6' 3""","181 lbs","Republic of Ireland",3,0,12,3,0,0,0,0,0,NA,NA,NA,"afc_bournemouth"
"Dean Huijsen2","D",19,"6' 5""","192 lbs","Spain",11,5,NA,NA,1,5,0,2,0,2,6,2,"afc_bournemouth"
"Milos Kerkez3","D",21,"5' 11""","157 lbs","Hungary",17,0,NA,NA,2,12,19,2,0,1,9,1,"afc_bournemouth"
"Marcos Senesi5","D",27,"6' 1""","174 lbs","Argentina",11,0,NA,NA,0,16,7,4,0,0,3,0,"afc_bournemouth"
"Adam Smith15","D",33,"5' 11""","172 lbs","England",17,5,NA,NA,0,8,9,4,0,0,1,0,"afc_bournemouth"
"Julián Araujo22","D",23,"5' 9""","152 lbs","Mexico",8,3,NA,NA,0,4,1,1,0,0,0,0,"afc_bournemouth"
"James Hill23","D",22,"6' 0""","161 lbs","England",2,2,NA,NA,0,1,0,0,0,0,0,0,"afc_bournemouth"
"Illia Zabarnyi27","D",22,"6' 2""","174 lbs","Ukraine",17,0,NA,NA,0,6,3,2,0,0,3,0,"afc_bournemouth"
"Max Aarons37","D",24,"5' 10""","150 lbs","England",1,1,NA,NA,0,0,1,0,0,0,0,0,"afc_bournemouth"
"Max Kinsey-Wellings48","D",19,"6' 0""","168 lbs","England",0,0,NA,NA,0,0,0,0,0,0,0,0,"afc_bournemouth"
"Lewis Cook4","M",27,"5' 9""","157 lbs","England",16,2,NA,NA,3,29,2,4,0,1,9,2,"afc_bournemouth"
"David Brooks7","M",27,"5' 8""","137 lbs","Wales",10,9,NA,NA,0,4,2,1,0,1,7,2,"afc_bournemouth"
"Alex Scott8","M",21,"5' 10""","150 lbs","England",8,6,NA,NA,0,2,13,0,0,0,3,1,"afc_bournemouth"
"Ryan Christie10","M",29,"5' 10""","152 lbs","Scotland",16,2,NA,NA,1,21,14,5,0,1,16,6,"afc_bournemouth"
"Tyler Adams12","M",25,"5' 8""","159 lbs","USA",8,3,NA,NA,0,10,4,2,0,0,5,1,"afc_bournemouth"
"Marcus Tavernier16","M",25,"5' 10""","152 lbs","England",15,2,NA,NA,4,13,11,2,0,1,31,8,"afc_bournemouth"
"Philip Billing29","M",28,"6' 4""","183 lbs","Denmark",7,7,NA,NA,0,0,2,0,0,0,2,0,"afc_bournemouth"
"Ben Winterburn47","M",20,"6' 1""","--","England",0,0,NA,NA,0,0,0,0,0,0,0,0,"afc_bournemouth"
"Evanilson9","F",25,"6' 0""","174 lbs","Brazil",16,1,NA,NA,0,17,29,0,0,4,35,16,"afc_bournemouth"
"Dango Ouattara11","F",22,"5' 10""","157 lbs","Burkina Faso",14,8,NA,NA,3,4,4,0,0,2,19,5,"afc_bournemouth"
"Luis Sinisterra17","F",25,"5' 8""","130 lbs","Colombia",8,7,NA,NA,1,3,2,0,0,1,11,5,"afc_bournemouth"
"Justin Kluivert19","F",25,"5' 7""","148 lbs","Netherlands",17,3,NA,NA,2,22,12,4,0,6,33,17,"afc_bournemouth"
"Antoine Semenyo24","F",24,"6' 1""","172 lbs","Ghana",16,0,NA,NA,1,32,21,5,0,5,67,16,"afc_bournemouth"
"Enes Ünal26","F",27,"6' 2""","172 lbs","Turkey",14,13,NA,NA,1,4,6,1,0,2,17,6,"afc_bournemouth"
