"Name","POS","Age","HT","WT","NAT","APP","SUB","SV","GA","A","FC","FA","YC","RC","G","SH","ST","Team"
"David Raya22","G",29,"6' 0""","174 lbs","Spain","17","0","46","16","0","1","3","2","0",NA,NA,NA,"arsenal"
"Neto32","G",35,"6' 3""","183 lbs","Brazil","2","0","11","2","0","0","2","0","0",NA,NA,NA,"arsenal"
"Tommy Setford36","G",18,"6' 1""","168 lbs","England","0","0","0","0","0","0","0","0","0",NA,NA,NA,"arsenal"
"Alexei Rojas62","G",19,"6' 1""","170 lbs","Colombia","--","--","--","--","--","--","--","--","--",NA,NA,NA,"arsenal"
"Jack Porter92","G",16,"6' 2""","--","England","--","--","--","--","--","--","--","--","--",NA,NA,NA,"arsenal"
"William Saliba2","D",23,"6' 4""","203 lbs","France","16","0",NA,NA,"0","14","8","2","1","2","3","2","arsenal"
"Kieran Tierney3","D",27,"5' 10""","152 lbs","Scotland","0","0",NA,NA,"0","0","0","0","0","0","0","0","arsenal"
"Ben White4","D",27,"6' 1""","168 lbs","England","9","2",NA,NA,"1","7","3","2","0","0","4","1","arsenal"
"Gabriel Magalhães6","D",27,"6' 3""","172 lbs","Brazil","15","0",NA,NA,"1","10","9","2","0","3","16","5","arsenal"
"Jurriën Timber12","D",23,"5' 10""","172 lbs","Netherlands","15","1",NA,NA,"1","16","9","4","0","1","9","2","arsenal"
"Jakub Kiwior15","D",24,"6' 2""","163 lbs","Poland","8","6",NA,NA,"0","5","1","0","0","0","0","0","arsenal"
"Oleksandr Zinchenko17","D",28,"5' 9""","139 lbs","Ukraine","6","4",NA,NA,"0","7","1","1","0","0","1","0","arsenal"
"Takehiro Tomiyasu18","D",26,"6' 2""","183 lbs","Japan","1","1",NA,NA,"0","0","0","0","0","0","1","0","arsenal"
"Riccardo Calafiori33","D",22,"6' 2""","190 lbs","Italy","9","3",NA,NA,"1","10","5","1","0","1","4","3","arsenal"
"Maldini Kacurri47","D",19,"6' 0""","183 lbs","Albania","0","0",NA,NA,"0","0","0","0","0","0","0","0","arsenal"
"Zane Monlouis50","D",21,"6' 1""","163 lbs","Jamaica","--","--",NA,NA,"--","--","--","--","--","--","--","--","arsenal"
"Josh Nichols51","D",18,"5' 5""","121 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","arsenal"
"Josh Robinson61","D",20,"5' 11""","148 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","arsenal"
"Ayden Heaven76","D",18,"6' 2""","170 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","arsenal"
"Thomas Partey5","M",31,"6' 1""","170 lbs","Ghana","16","2",NA,NA,"2","25","16","2","0","2","14","4","arsenal"
"Martin Ødegaard8","M",26,"5' 10""","150 lbs","Norway","10","0",NA,NA,"2","3","11","1","0","1","14","5","arsenal"
"Jorginho20","M",33,"5' 11""","141 lbs","Italy","8","3",NA,NA,"0","7","9","3","0","0","1","0","arsenal"
"Mikel Merino23","M",28,"6' 2""","183 lbs","Spain","10","5",NA,NA,"0","14","6","1","0","1","8","3","arsenal"
"Declan Rice41","M",25,"6' 2""","183 lbs","England","15","1",NA,NA,"3","12","7","4","1","1","18","4","arsenal"
"Myles Lewis-Skelly49","M",18,"5' 10""","159 lbs","England","4","2",NA,NA,"0","1","4","1","0","0","0","0","arsenal"
"Ethan Nwaneri53","M",17,"5' 9""","152 lbs","England","10","10",NA,NA,"0","1","2","0","0","1","4","2","arsenal"
"Salah-Eddine Oulad M'Hand56","M",21,"5' 10""","152 lbs","Netherlands","0","0",NA,NA,"0","0","0","0","0","0","0","0","arsenal"
"Bukayo Saka7","F",23,"5' 10""","159 lbs","England","16","0",NA,NA,"10","13","32","3","0","5","46","18","arsenal"
"Gabriel Jesus9","F",27,"5' 9""","161 lbs","Brazil","14","11",NA,NA,"0","8","9","4","0","2","12","4","arsenal"
"Gabriel Martinelli11","F",23,"5' 10""","163 lbs","Brazil","15","4",NA,NA,"3","6","7","1","0","4","19","10","arsenal"
"Leandro Trossard19","F",30,"5' 8""","132 lbs","Belgium","17","7",NA,NA,"1","7","12","1","1","3","21","8","arsenal"
"Kai Havertz29","F",25,"6' 4""","183 lbs","Germany","16","0",NA,NA,"2","28","17","2","0","6","36","13","arsenal"
"Raheem Sterling30","F",30,"5' 8""","150 lbs","England","6","4",NA,NA,"1","2","0","0","0","0","4","0","arsenal"
"Nathan Butler-Oyedeji37","F",21,"5' 10""","161 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","arsenal"
"Ismeal Kabia46","F",19,"5' 9""","152 lbs","Netherlands","0","0",NA,NA,"0","0","0","0","0","0","0","0","arsenal"
