"Name","POS","Age","HT","WT","NAT","APP","SUB","SV","GA","A","FC","FA","YC","RC","G","SH","ST","Team"
"Joe Gauci18","G",24,"6' 4""","192 lbs","Australia","0","0",0,0,"0","0","0","0","0",NA,NA,NA,"aston_villa"
"Emiliano Martínez23","G",32,"6' 5""","192 lbs","Argentina","17","0",44,25,"0","1","3","2","0",NA,NA,NA,"aston_villa"
"Robin Olsen25","G",34,"6' 6""","194 lbs","Sweden","1","1",2,1,"0","0","0","0","0",NA,NA,NA,"aston_villa"
"Oliwier Zych48","G",20,"6' 4""","179 lbs","Poland","0","0",0,0,"0","0","0","0","0",NA,NA,NA,"aston_villa"
"Matty Cash2","D",27,"6' 1""","172 lbs","Poland","11","1",NA,NA,"0","11","5","4","0","1","4","2","aston_villa"
"Diego Carlos3","D",31,"6' 1""","172 lbs","Brazil","9","2",NA,NA,"0","9","1","1","0","0","4","1","aston_villa"
"Ezri Konsa4","D",27,"6' 0""","161 lbs","England","15","0",NA,NA,"0","1","20","0","0","1","5","2","aston_villa"
"Tyrone Mings5","D",31,"6' 5""","170 lbs","England","1","0",NA,NA,"0","0","1","0","0","0","2","0","aston_villa"
"Lucas Digne12","D",31,"5' 10""","161 lbs","France","17","2",NA,NA,"2","13","6","3","0","0","6","2","aston_villa"
"Pau Torres14","D",27,"6' 3""","174 lbs","Spain","16","0",NA,NA,"0","6","6","1","0","0","6","1","aston_villa"
"Kosta Nedeljkovic20","D",19,"6' 0""","159 lbs","Serbia","3","3",NA,NA,"0","0","1","0","0","0","0","0","aston_villa"
"Ian Maatsen22","D",22,"5' 10""","126 lbs","Netherlands","13","11",NA,NA,"0","3","2","1","0","0","4","1","aston_villa"
"Lamar Bogarde26","D",20,"6' 0""","168 lbs","Netherlands","3","0",NA,NA,"0","5","4","1","0","0","0","0","aston_villa"
"Kortney Hause30","D",29,"6' 3""","170 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","aston_villa"
"Triston Rowe45","D",18,"6' 0""","152 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","aston_villa"
"Sil Swinkels50","D",20,"6' 3""","172 lbs","Netherlands","0","0",NA,NA,"0","0","0","0","0","0","0","0","aston_villa"
"Travis Patterson66","D",19,"5' 10""","139 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","aston_villa"
"Thierry Katsukunya73","D",19,"5' 11""","--","Wales","--","--",NA,NA,"--","--","--","--","--","--","--","--","aston_villa"
"Ross Barkley6","M",31,"6' 2""","168 lbs","England","13","11",NA,NA,"1","9","1","3","0","2","12","3","aston_villa"
"John McGinn7","M",30,"5' 10""","150 lbs","Scotland","15","2",NA,NA,"3","19","34","3","0","0","19","2","aston_villa"
"Youri Tielemans8","M",27,"5' 9""","159 lbs","Belgium","17","0",NA,NA,"4","19","31","3","0","0","10","2","aston_villa"
"Emiliano Buendía10","M",27,"5' 8""","159 lbs","Argentina","8","8",NA,NA,"0","3","3","1","0","0","1","0","aston_villa"
"Amadou Onana24","M",23,"6' 5""","168 lbs","Belgium","12","1",NA,NA,"0","19","10","3","0","2","9","4","aston_villa"
"Leon Bailey31","M",27,"5' 10""","170 lbs","Jamaica","14","4",NA,NA,"2","8","14","2","0","0","11","2","aston_villa"
"Jacob Ramsey41","M",23,"5' 11""","163 lbs","England","10","3",NA,NA,"2","4","8","1","0","0","11","3","aston_villa"
"Boubacar Kamara44","M",25,"6' 0""","150 lbs","France","8","3",NA,NA,"0","11","7","1","0","0","0","0","aston_villa"
"Aidan Borland54","M",17,"5' 10""","141 lbs","Scotland","--","--",NA,NA,"--","--","--","--","--","--","--","--","aston_villa"
"Jamaldeen Jimoh56","M",18,"6' 0""","157 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","aston_villa"
"Ben Broggio79","M",17,"5' 11""","163 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","aston_villa"
"Jhon Durán9","F",21,"6' 1""","161 lbs","Colombia","17","14",NA,NA,"0","12","13","3","0","7","29","15","aston_villa"
"Ollie Watkins11","F",28,"5' 11""","163 lbs","England","17","3",NA,NA,"4","16","21","0","0","7","44","20","aston_villa"
"Jaden Philogene19","F",22,"5' 11""","146 lbs","England","11","9",NA,NA,"0","11","8","3","1","0","7","0","aston_villa"
"Morgan Rogers27","F",22,"6' 2""","174 lbs","England","17","0",NA,NA,"3","20","22","4","0","5","33","9","aston_villa"
"Kadan Young72","F",18,"5' 9""","148 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","aston_villa"
"Kobei Moore77","F",20,"6' 0""","152 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","aston_villa"
