"Name","POS","Age","HT","WT","NAT","APP","SUB","SV","GA","A","FC","FA","YC","RC","G","SH","ST","Team"
"Julian Eyestone","G",18,"--","--","USA","--","--","--","--","--","--","--","--","--",NA,NA,NA,"brentford"
"Mark Flekken1","G",31,"6' 5""","192 lbs","Netherlands","17","0","82","31","1","0","2","1","0",NA,NA,NA,"brentford"
"Hákon Rafn Valdimarsson12","G",23,"6' 2""","194 lbs","Iceland","0","0","0","0","0","0","0","0","0",NA,NA,NA,"brentford"
"Matthew Cox34","G",21,"6' 0""","139 lbs","England","--","--","--","--","--","--","--","--","--",NA,NA,NA,"brentford"
"Aaron Hickey2","D",22,"5' 10""","159 lbs","Scotland","--","--",NA,NA,"--","--","--","--","--","--","--","--","brentford"
"Rico Henry3","D",27,"5' 7""","148 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","brentford"
"Sepp van den Berg4","D",23,"6' 2""","161 lbs","Netherlands","14","1",NA,NA,"0","11","3","1","0","0","8","3","brentford"
"Ethan Pinnock5","D",31,"6' 2""","172 lbs","Jamaica","16","0",NA,NA,"0","5","3","2","0","2","10","6","brentford"
"Ben Mee16","D",35,"5' 11""","161 lbs","England","4","3",NA,NA,"0","2","0","1","0","0","0","0","brentford"
"Kristoffer Ajer20","D",26,"6' 6""","203 lbs","Norway","10","1",NA,NA,"0","8","4","3","0","0","3","2","brentford"
"Jayden Meghoma21","D",18,"5' 9""","174 lbs","England","1","1",NA,NA,"0","0","0","0","0","0","0","0","brentford"
"Nathan Collins22","D",23,"6' 4""","183 lbs","Republic of Ireland","17","0",NA,NA,"1","12","10","2","0","2","12","5","brentford"
"Mads Roerslev30","D",25,"6' 0""","170 lbs","Denmark","13","8",NA,NA,"1","3","5","1","0","0","1","0","brentford"
"Kim Ji-Soo36","D",20,"6' 4""","183 lbs","South Korea","0","0",NA,NA,"0","0","0","0","0","0","0","0","brentford"
"Christian Nørgaard6","M",30,"6' 2""","161 lbs","Denmark","14","0",NA,NA,"2","18","18","2","1","1","15","5","brentford"
"Kevin Schade7","M",23,"6' 0""","161 lbs","Germany","17","9",NA,NA,"2","8","11","2","0","4","20","9","brentford"
"Mathias Jensen8","M",28,"5' 11""","159 lbs","Denmark","8","2",NA,NA,"1","6","9","1","0","0","5","1","brentford"
"Josh Dasilva10","M",26,"6' 0""","163 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","brentford"
"Yoane Wissa11","M",28,"5' 9""","161 lbs","Congo DR","14","1",NA,NA,"1","9","22","2","0","9","24","14","brentford"
"Fábio Carvalho14","M",22,"5' 7""","137 lbs","Portugal","16","13",NA,NA,"1","5","10","1","0","1","10","4","brentford"
"Yehor Yarmoliuk18","M",20,"5' 11""","159 lbs","Ukraine","12","8",NA,NA,"0","2","2","1","0","0","5","1","brentford"
"Bryan Mbeumo19","M",25,"5' 8""","139 lbs","Cameroon","17","0",NA,NA,"2","12","18","2","0","10","28","16","brentford"
"Mikkel Damsgaard24","M",24,"5' 11""","146 lbs","Denmark","17","3",NA,NA,"5","7","13","1","0","2","15","6","brentford"
"Yunus Konak26","M",18,"5' 11""","168 lbs","--","5","5",NA,NA,"0","2","0","0","0","0","1","0","brentford"
"Vitaly Janelt27","M",26,"6' 0""","172 lbs","Germany","16","2",NA,NA,"3","13","9","2","0","1","10","3","brentford"
"Ryan Trevitt28","M",21,"5' 7""","141 lbs","England","1","1",NA,NA,"0","0","0","0","0","0","0","0","brentford"
"Paris Maghoma32","M",23,"5' 11""","150 lbs","England","3","3",NA,NA,"0","1","3","0","0","0","0","0","brentford"
"Tony Yogane42","M",19,"5' 10""","150 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","brentford"
"Thiago9","F",23,"6' 3""","185 lbs","Brazil","4","3",NA,NA,"0","3","3","0","0","0","1","0","brentford"
"Keane Lewis-Potter23","F",23,"5' 7""","148 lbs","England","17","2",NA,NA,"1","7","12","3","0","0","15","8","brentford"
"Gustavo Nunes39","F",19,"5' 8""","150 lbs","Brazil","--","--",NA,NA,"--","--","--","--","--","--","--","--","brentford"
"Iwan Morgan40","F",18,"6' 0""","163 lbs","Wales","--","--",NA,NA,"--","--","--","--","--","--","--","--","brentford"
