"Name","POS","Age","HT","WT","NAT","APP","SUB","SV","GA","A","FC","FA","YC","RC","G","SH","ST","Team"
"Bart Verbruggen1","G",22,"6' 4""","146 lbs","Netherlands","15","0",45,24,"0","0","0","3","0",NA,NA,NA,"brighton_hove_albion"
"Jason Steele23","G",34,"6' 2""","172 lbs","England","2","0",3,1,"0","0","1","0","0",NA,NA,NA,"brighton_hove_albion"
"Killian Cahill38","G",21,"6' 0""","148 lbs","--","0","0",0,0,"0","0","0","0","0",NA,NA,NA,"brighton_hove_albion"
"Tariq Lamptey2","D",24,"5' 4""","119 lbs","Ghana","6","3",NA,NA,"2","3","2","0","0","1","2","1","brighton_hove_albion"
"Igor Julio3","D",26,"6' 1""","185 lbs","Brazil","10","3",NA,NA,"0","7","6","3","0","0","1","0","brighton_hove_albion"
"Adam Webster4","D",29,"6' 3""","163 lbs","England","3","1",NA,NA,"0","1","0","0","0","0","0","0","brighton_hove_albion"
"Lewis Dunk5","D",33,"6' 4""","192 lbs","England","13","1",NA,NA,"0","4","6","4","0","0","9","2","brighton_hove_albion"
"Jan Paul van Hecke29","D",24,"6' 2""","172 lbs","Netherlands","15","1",NA,NA,"1","10","5","4","0","0","8","2","brighton_hove_albion"
"Pervis Estupiñán30","D",26,"5' 9""","161 lbs","Ecuador","14","3",NA,NA,"1","21","8","3","0","0","12","1","brighton_hove_albion"
"Joël Veltman34","D",32,"6' 0""","163 lbs","Netherlands","12","0",NA,NA,"0","9","27","2","0","0","2","0","brighton_hove_albion"
"Ruairi Mcconville44","D",19,"6' 4""","174 lbs","Northern Ireland","0","0",NA,NA,"0","0","0","0","0","0","0","0","brighton_hove_albion"
"Imari Samuels47","D",21,"6' 2""","172 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","brighton_hove_albion"
"Ed Turns48","D",22,"6' 1""","172 lbs","Wales","--","--",NA,NA,"--","--","--","--","--","--","--","--","brighton_hove_albion"
"Jacob Slater53","D",20,"6' 0""","--","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","brighton_hove_albion"
"James Milner6","M",38,"5' 9""","152 lbs","England","3","0",NA,NA,"0","3","1","1","0","0","2","0","brighton_hove_albion"
"Solly March7","M",30,"5' 11""","192 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","brighton_hove_albion"
"Brajan Gruda8","M",20,"5' 10""","152 lbs","Germany","7","6",NA,NA,"0","0","2","0","0","0","1","0","brighton_hove_albion"
"Julio Enciso10","M",20,"5' 8""","139 lbs","Paraguay","9","9",NA,NA,"0","2","4","0","0","0","10","6","brighton_hove_albion"
"Jakub Moder15","M",25,"6' 2""","172 lbs","Poland","2","2",NA,NA,"0","0","0","0","0","0","0","0","brighton_hove_albion"
"Carlos Baleba20","M",20,"5' 10""","161 lbs","Cameroon","14","2",NA,NA,"1","18","21","3","1","2","20","6","brighton_hove_albion"
"Kaoru Mitoma22","M",27,"5' 10""","161 lbs","Japan","17","1",NA,NA,"2","20","13","0","0","3","32","13","brighton_hove_albion"
"Ferdi Kadioglu24","M",25,"5' 9""","150 lbs","Turkey","6","1",NA,NA,"0","5","3","1","0","1","4","1","brighton_hove_albion"
"Yasin Ayari26","M",21,"5' 8""","150 lbs","Sweden","14","5",NA,NA,"0","15","16","2","0","0","13","5","brighton_hove_albion"
"Mats Wieffer27","M",25,"6' 2""","172 lbs","Netherlands","13","9",NA,NA,"2","14","5","2","0","1","5","2","brighton_hove_albion"
"Cameron Peupion32","M",22,"5' 9""","168 lbs","Australia","--","--",NA,NA,"--","--","--","--","--","--","--","--","brighton_hove_albion"
"Matt O'Riley33","M",24,"6' 2""","170 lbs","Denmark","5","3",NA,NA,"0","2","3","1","0","1","5","2","brighton_hove_albion"
"Jack Hinshelwood41","M",19,"5' 11""","168 lbs","England","10","0",NA,NA,"0","7","2","2","0","1","8","3","brighton_hove_albion"
"João Pedro9","F",23,"6' 0""","152 lbs","Brazil","11","2",NA,NA,"3","6","20","1","0","4","18","7","brighton_hove_albion"
"Simon Adingra11","F",22,"5' 9""","150 lbs","Ivory Coast","11","8",NA,NA,"1","5","0","0","0","1","8","3","brighton_hove_albion"
"Georginio Rutter14","F",22,"6' 0""","183 lbs","France","16","3",NA,NA,"2","22","25","2","0","2","31","6","brighton_hove_albion"
"Yankuba Minteh17","F",20,"5' 11""","141 lbs","Gambia","12","6",NA,NA,"1","8","4","2","0","2","9","3","brighton_hove_albion"
"Danny Welbeck18","F",34,"6' 1""","161 lbs","England","14","1",NA,NA,"2","6","13","1","0","6","35","12","brighton_hove_albion"
"Evan Ferguson28","F",20,"6' 0""","172 lbs","Republic of Ireland","12","10",NA,NA,"0","3","1","0","0","1","7","2","brighton_hove_albion"
