"Name","POS","Age","HT","WT","NAT","APP","SUB","SV","GA","A","FC","FA","YC","RC","G","SH","ST","Team"
"Robert Sánchez1","G",27,"6' 6""","196 lbs","Spain","16","0","53","18","0","2","2","4","0",NA,NA,NA,"chelsea"
"Filip Jørgensen12","G",22,"6' 3""","185 lbs","Denmark","1","0","3","1","0","0","0","0","0",NA,NA,NA,"chelsea"
"Marcus Bettinelli13","G",32,"6' 4""","181 lbs","England","0","0","0","0","0","0","0","0","0",NA,NA,NA,"chelsea"
"Lucas Bergstrom47","G",22,"6' 9""","181 lbs","Finland","--","--","--","--","--","--","--","--","--",NA,NA,NA,"chelsea"
"Max Merrick50","G",19,"5' 9""","152 lbs","England","--","--","--","--","--","--","--","--","--",NA,NA,NA,"chelsea"
"Axel Disasi2","D",26,"6' 3""","183 lbs","France","4","1",NA,NA,"0","2","0","1","0","1","1","1","chelsea"
"Marc Cucurella3","D",26,"5' 8""","146 lbs","Spain","15","2",NA,NA,"1","15","18","7","1","1","3","1","chelsea"
"Tosin Adarabioyo4","D",27,"6' 5""","174 lbs","England","7","2",NA,NA,"0","2","2","1","0","0","4","0","chelsea"
"Benoît Badiashile5","D",23,"6' 4""","163 lbs","France","4","2",NA,NA,"0","6","2","0","0","0","0","0","chelsea"
"Levi Colwill6","D",21,"6' 2""","183 lbs","England","16","0",NA,NA,"0","19","11","3","0","0","5","1","chelsea"
"Ben Chilwell21","D",28,"5' 10""","170 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","chelsea"
"Reece James24","D",25,"6' 0""","181 lbs","England","4","1",NA,NA,"0","1","4","0","0","0","0","0","chelsea"
"Malo Gusto27","D",21,"5' 10""","148 lbs","France","14","2",NA,NA,"1","11","9","2","0","0","17","2","chelsea"
"Wesley Fofana29","D",24,"6' 3""","183 lbs","France","12","0",NA,NA,"0","19","15","6","0","0","2","0","chelsea"
"Josh Acheampong34","D",18,"6' 0""","163 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","chelsea"
"Richard Olise49","D",20,"5' 8""","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","chelsea"
"Harrison Murray-Campbell59","D",18,"6' 0""","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","chelsea"
"Kaiden Wilson63","D",19,"--","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","chelsea"
"Enzo Fernández8","M",23,"5' 10""","168 lbs","Argentina","16","4",NA,NA,"4","15","18","1","0","3","17","7","chelsea"
"Mykhailo Mudryk10","M",23,"5' 9""","132 lbs","Ukraine","7","6",NA,NA,"0","1","2","0","0","0","1","1","chelsea"
"Carney Chukwuemeka17","M",21,"6' 2""","170 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","chelsea"
"Cole Palmer20","M",22,"6' 2""","168 lbs","England","17","0",NA,NA,"6","8","38","3","0","11","61","21","chelsea"
"Kiernan Dewsbury-Hall22","M",26,"5' 10""","174 lbs","England","5","5",NA,NA,"0","1","1","0","0","0","0","0","chelsea"
"Moisés Caicedo25","M",23,"5' 10""","161 lbs","Ecuador","17","0",NA,NA,"2","33","22","3","0","1","9","2","chelsea"
"Cesare Casadei31","M",21,"6' 1""","170 lbs","Italy","0","0",NA,NA,"0","0","0","0","0","0","0","0","chelsea"
"Kiano Dyer33","M",18,"5' 10""","141 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","chelsea"
"Renato Veiga40","M",21,"6' 3""","192 lbs","Portugal","7","6",NA,NA,"0","6","1","2","0","0","3","1","chelsea"
"Harvey Vale43","M",21,"5' 11""","161 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","chelsea"
"Romeo Lavia45","M",20,"5' 11""","168 lbs","Belgium","9","2",NA,NA,"1","9","2","3","0","0","1","0","chelsea"
"Samuel Rak-Sakyi51","M",19,"5' 10""","161 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","chelsea"
"Pedro Neto7","F",24,"5' 8""","137 lbs","Portugal","14","6",NA,NA,"2","9","12","5","0","1","17","6","chelsea"
"Noni Madueke11","F",22,"6' 0""","163 lbs","England","16","3",NA,NA,"3","12","14","3","0","5","49","21","chelsea"
"João Félix14","F",25,"5' 11""","152 lbs","Portugal","9","7",NA,NA,"1","4","13","2","0","1","14","3","chelsea"
"Nicolas Jackson15","F",23,"6' 1""","172 lbs","Senegal","16","0",NA,NA,"4","14","15","4","0","9","42","20","chelsea"
"Christopher Nkunku18","F",27,"5' 10""","150 lbs","France","16","14",NA,NA,"1","9","4","1","0","2","13","4","chelsea"
"Jadon Sancho19","F",24,"5' 11""","168 lbs","England","11","3",NA,NA,"3","3","6","1","0","2","9","3","chelsea"
"Tyrique George32","F",18,"5' 11""","163 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","chelsea"
"Deivid Washington36","F",19,"6' 1""","161 lbs","Brazil","--","--",NA,NA,"--","--","--","--","--","--","--","--","chelsea"
"Omari Kellyman37","F",19,"6' 3""","172 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","chelsea"
"Marc Guiu38","F",18,"6' 2""","181 lbs","Spain","1","1",NA,NA,"0","0","0","0","0","0","0","0","chelsea"
"Ato Ampah55","F",18,"--","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","chelsea"
"Shim Mheuka76","F",17,"6' 0""","163 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","chelsea"
