"Name","POS","Age","HT","WT","NAT","APP","SUB","SV","GA","A","FC","FA","YC","RC","G","SH","ST","Team"
"Dean Henderson1","G",27,"6' 2""","185 lbs","England","17","0",52,24,"0","0","0","2","0",NA,NA,NA,"crystal_palace"
"Matt Turner30","G",30,"6' 3""","183 lbs","USA","0","0",0,0,"0","0","0","0","0",NA,NA,NA,"crystal_palace"
"Remi Matthews31","G",30,"6' 0""","172 lbs","England","0","0",0,0,"0","0","0","0","0",NA,NA,NA,"crystal_palace"
"Joel Ward2","D",35,"6' 2""","183 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","crystal_palace"
"Tyrick Mitchell3","D",25,"5' 9""","150 lbs","England","17","0",NA,NA,"3","9","13","2","0","0","3","0","crystal_palace"
"Rob Holding4","D",29,"6' 2""","179 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","crystal_palace"
"Maxence Lacroix5","D",24,"6' 3""","192 lbs","France","14","0",NA,NA,"1","14","6","3","0","1","12","1","crystal_palace"
"Marc Guéhi6","D",24,"6' 0""","174 lbs","England","17","0",NA,NA,"1","8","13","4","0","2","12","6","crystal_palace"
"Daniel Muñoz12","D",28,"5' 11""","161 lbs","Colombia","16","0",NA,NA,"1","21","8","5","0","2","16","6","crystal_palace"
"Nathaniel Clyne17","D",33,"5' 9""","148 lbs","England","8","4",NA,NA,"0","1","2","1","0","0","1","0","crystal_palace"
"Chris Richards26","D",24,"6' 2""","192 lbs","USA","7","2",NA,NA,"0","3","2","1","0","0","2","0","crystal_palace"
"Trevoh Chalobah27","D",25,"6' 3""","163 lbs","England","10","0",NA,NA,"0","8","13","1","0","2","7","2","crystal_palace"
"Chadi Riad34","D",21,"6' 1""","172 lbs","Morocco","1","0",NA,NA,"0","1","0","0","0","0","0","0","crystal_palace"
"Caleb Kporha58","D",18,"5' 7""","148 lbs","England","2","2",NA,NA,"0","0","0","0","0","0","0","0","crystal_palace"
"Jefferson Lerma8","M",30,"5' 10""","152 lbs","Colombia","13","4",NA,NA,"0","10","15","4","0","0","11","2","crystal_palace"
"Eberechi Eze10","M",26,"5' 10""","161 lbs","England","13","0",NA,NA,"2","5","20","0","0","1","42","11","crystal_palace"
"Jeff Schlupp15","M",32,"5' 10""","159 lbs","Ghana","11","11",NA,NA,"0","0","0","0","0","0","4","1","crystal_palace"
"Daichi Kamada18","M",28,"6' 0""","168 lbs","Japan","13","5",NA,NA,"0","16","11","2","1","0","9","3","crystal_palace"
"Will Hughes19","M",29,"6' 1""","161 lbs","England","15","5",NA,NA,"2","26","12","6","0","0","10","1","crystal_palace"
"Adam Wharton20","M",20,"6' 0""","170 lbs","England","8","0",NA,NA,"0","5","12","0","0","0","9","5","crystal_palace"
"Cheick Doucouré28","M",24,"5' 11""","161 lbs","Mali","9","6",NA,NA,"0","4","5","1","0","0","6","0","crystal_palace"
"Kaden Rodney42","M",20,"6' 2""","148 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","crystal_palace"
"Justin Devenny55","M",21,"5' 10""","161 lbs","Northern Ireland","7","5",NA,NA,"0","2","0","0","0","1","4","1","crystal_palace"
"Asher Agbinone64","M",19,"5' 10""","150 lbs","England","2","2",NA,NA,"0","0","0","0","0","0","1","0","crystal_palace"
"Ismaïla Sarr7","F",26,"6' 1""","168 lbs","Senegal","17","7",NA,NA,"2","7","22","3","0","4","27","16","crystal_palace"
"Eddie Nketiah9","F",25,"5' 9""","159 lbs","England","12","6",NA,NA,"1","12","16","2","0","0","20","6","crystal_palace"
"Matheus França11","F",20,"5' 10""","148 lbs","Brazil","--","--",NA,NA,"--","--","--","--","--","--","--","--","crystal_palace"
"Jean-Philippe Mateta14","F",27,"6' 4""","192 lbs","France","17","2",NA,NA,"1","15","13","2","0","4","33","10","crystal_palace"
"Franco Umeh-Chibueze46","F",19,"6' 1""","161 lbs","--","0","0",NA,NA,"0","0","0","0","0","0","0","0","crystal_palace"
"Zach Marsh63","F",19,"5' 9""","130 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","crystal_palace"
