"Name","POS","Age","HT","WT","NAT","APP","SUB","SV","GA","A","FC","FA","YC","RC","G","SH","ST","Team"
"Jordan Pickford1","G",30,"6' 1""","181 lbs","England","16","0",45,21,"0","0","2","3","0",NA,NA,NA,"everton"
"João Virgínia12","G",25,"6' 4""","183 lbs","Portugal","0","0",0,0,"0","0","0","0","0",NA,NA,NA,"everton"
"Asmir Begovic31","G",37,"6' 6""","223 lbs","Bosnia and Herzegovina","0","0",0,0,"0","0","0","0","0",NA,NA,NA,"everton"
"Nathan Patterson2","D",23,"6' 2""","183 lbs","Scotland","1","1",NA,NA,"0","0","0","0","0","0","0","0","everton"
"Michael Keane5","D",31,"6' 3""","181 lbs","England","9","0",NA,NA,"0","8","0","4","0","2","7","2","everton"
"James Tarkowski6","D",32,"6' 1""","179 lbs","England","16","0",NA,NA,"0","17","10","3","0","0","9","2","everton"
"Jake O'Brien15","D",23,"6' 6""","203 lbs","Republic of Ireland","2","2",NA,NA,"0","1","0","1","0","0","0","0","everton"
"Ashley Young18","D",39,"5' 9""","141 lbs","England","14","0",NA,NA,"3","16","11","5","1","1","5","1","everton"
"Vitaliy Mykolenko19","D",25,"5' 11""","157 lbs","Ukraine","14","0",NA,NA,"0","11","15","1","0","0","9","0","everton"
"Seamus Coleman23","D",36,"5' 10""","148 lbs","Republic of Ireland","2","1",NA,NA,"0","0","0","0","0","0","1","1","everton"
"Jarrad Branthwaite32","D",22,"6' 5""","192 lbs","England","9","2",NA,NA,"0","0","4","0","0","0","1","0","everton"
"Bradley Moonan72","D",18,"6' 0""","161 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","everton"
"Roman Quintyne75","D",19,"5' 9""","141 lbs","England","1","0",NA,NA,"0","0","0","0","0","0","0","0","everton"
"Orel Mangala8","M",26,"5' 10""","174 lbs","Belgium","13","5",NA,NA,"0","15","11","1","0","1","9","4","everton"
"Abdoulaye Doucouré16","M",31,"6' 0""","163 lbs","Mali","14","1",NA,NA,"0","21","2","0","0","0","7","1","everton"
"Idrissa Gueye27","M",35,"5' 9""","146 lbs","Senegal","15","2",NA,NA,"0","26","18","2","0","0","13","2","everton"
"Jesper Lindstrom29","M",24,"6' 0""","146 lbs","Denmark","12","6",NA,NA,"0","2","3","0","0","0","19","5","everton"
"James Garner37","M",23,"6' 1""","172 lbs","England","4","2",NA,NA,"1","4","0","1","0","0","2","0","everton"
"Tim Iroegbunam42","M",21,"6' 0""","152 lbs","England","6","2",NA,NA,"0","10","6","2","0","0","4","0","everton"
"Harrison Armstrong45","M",17,"6' 1""","152 lbs","England","2","2",NA,NA,"0","1","1","1","0","0","0","0","everton"
"Luke Butterfield69","M",21,"5' 9""","139 lbs","Scotland","--","--",NA,NA,"--","--","--","--","--","--","--","--","everton"
"Owen Barker79","M",19,"5' 8""","137 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","everton"
"Callum Bates92","M",19,"5' 11""","172 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","everton"
"Dwight McNeil7","F",25,"6' 0""","150 lbs","England","13","0",NA,NA,"4","6","13","1","0","3","23","8","everton"
"Dominic Calvert-Lewin9","F",27,"6' 2""","157 lbs","England","16","1",NA,NA,"1","17","16","1","0","2","34","14","everton"
"Iliman Ndiaye10","F",24,"5' 11""","152 lbs","Senegal","16","2",NA,NA,"0","9","24","2","0","2","16","6","everton"
"Jack Harrison11","F",28,"5' 9""","152 lbs","England","15","6",NA,NA,"0","4","13","0","0","0","14","3","everton"
"Beto14","F",26,"6' 4""","192 lbs","Guinea-Bissau","10","9",NA,NA,"0","7","6","1","0","1","10","3","everton"
"Youssef Chermiti17","F",20,"6' 4""","183 lbs","Portugal","0","0",NA,NA,"0","0","0","0","0","0","0","0","everton"
"Armando Broja22","F",23,"6' 3""","183 lbs","Albania","2","2",NA,NA,"0","1","0","1","0","0","0","0","everton"
"Martin Sherif67","F",18,"6' 0""","157 lbs","Netherlands","--","--",NA,NA,"--","--","--","--","--","--","--","--","everton"
