"Name","POS","Age","HT","WT","NAT","APP","SUB","SV","GA","A","FC","FA","YC","RC","G","SH","ST","Team"
"Bernd Leno1","G",32,"6' 2""","181 lbs","Germany","17","0","47","21","1","0","1","2","0",NA,NA,NA,"fulham"
"Steven Benda23","G",26,"6' 4""","183 lbs","Germany","0","0","0","0","0","0","0","0","0",NA,NA,NA,"fulham"
"Alex Borto36","G",21,"6' 2""","174 lbs","USA","--","--","--","--","--","--","--","--","--",NA,NA,NA,"fulham"
"Kenny Tete2","D",29,"5' 11""","157 lbs","Netherlands","15","0",NA,NA,"2","22","12","3","0","0","19","2","fulham"
"Calvin Bassey3","D",24,"6' 1""","168 lbs","Nigeria","16","0",NA,NA,"0","13","15","5","0","0","7","2","fulham"
"Joachim Andersen5","D",28,"6' 4""","190 lbs","Denmark","9","0",NA,NA,"0","5","7","1","1","0","9","3","fulham"
"Jorge Cuenca15","D",25,"6' 3""","163 lbs","Spain","4","3",NA,NA,"0","0","1","0","0","0","0","0","fulham"
"Timothy Castagne21","D",29,"6' 1""","174 lbs","Belgium","7","5",NA,NA,"0","0","1","0","0","0","2","1","fulham"
"Issa Diop31","D",27,"6' 4""","203 lbs","France","12","3",NA,NA,"0","6","2","2","0","0","6","3","fulham"
"Antonee Robinson33","D",27,"6' 0""","152 lbs","USA","17","0",NA,NA,"6","13","8","3","0","0","10","1","fulham"
"Samuel Amissah35","D",17,"--","--","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","fulham"
"Luc de Fougerolles44","D",19,"5' 10""","159 lbs","Canada","--","--",NA,NA,"--","--","--","--","--","--","--","--","fulham"
"Harrison Reed6","M",29,"5' 11""","159 lbs","England","8","8",NA,NA,"0","5","2","2","0","0","1","0","fulham"
"Harry Wilson8","M",27,"5' 8""","139 lbs","Wales","13","10",NA,NA,"0","5","8","2","0","3","14","4","fulham"
"Tom Cairney10","M",33,"6' 1""","183 lbs","Scotland","11","10",NA,NA,"0","3","5","2","1","1","2","1","fulham"
"Sander Berge16","M",26,"6' 5""","212 lbs","Norway","14","4",NA,NA,"0","10","2","2","0","0","1","0","fulham"
"Andreas Pereira18","M",28,"5' 10""","157 lbs","Brazil","15","2",NA,NA,"0","14","12","5","0","2","21","7","fulham"
"Sasa Lukic20","M",28,"6' 0""","168 lbs","Serbia","12","1",NA,NA,"0","24","13","6","0","0","2","0","fulham"
"Josh King24","M",17,"6' 2""","161 lbs","England","2","1",NA,NA,"0","1","2","0","0","0","0","0","fulham"
"Ryan Sessegnon30","M",24,"5' 10""","152 lbs","England","1","1",NA,NA,"0","1","0","0","0","0","0","0","fulham"
"Emile Smith Rowe32","M",24,"6' 0""","172 lbs","England","16","2",NA,NA,"2","9","9","1","0","3","17","4","fulham"
"Raúl Jiménez7","F",33,"6' 3""","168 lbs","Mexico","17","5",NA,NA,"2","18","18","2","0","5","34","14","fulham"
"Rodrigo Muniz9","F",23,"5' 10""","148 lbs","Brazil","16","11",NA,NA,"1","7","17","1","0","2","18","6","fulham"
"Adama Traoré11","F",28,"5' 10""","190 lbs","Spain","16","6",NA,NA,"4","10","17","2","0","1","22","8","fulham"
"Carlos Vinícius12","F",29,"6' 3""","190 lbs","Brazil","1","1",NA,NA,"0","0","0","0","0","0","1","1","fulham"
"Alex Iwobi17","F",28,"5' 11""","163 lbs","Nigeria","17","0",NA,NA,"3","11","10","1","0","5","33","16","fulham"
"Reiss Nelson19","F",25,"5' 9""","157 lbs","England","12","7",NA,NA,"1","7","10","1","0","1","12","6","fulham"
"Martial Godo47","F",21,"5' 7""","132 lbs","England","1","1",NA,NA,"0","0","0","0","0","0","0","0","fulham"
