"Name","POS","Age","HT","WT","NAT","APP","SUB","SV","GA","A","FC","FA","YC","RC","G","SH","ST","Team"
"Aro Muric1","G",26,"6' 6""","179 lbs","Kosovo","16","0",65,30,"0","0","4","1","0",NA,NA,NA,"ipswich_town"
"Cieran Slicker13","G",22,"6' 3""","181 lbs","Scotland","0","0",0,0,"0","0","0","0","0",NA,NA,NA,"ipswich_town"
"Christian Walton28","G",29,"6' 5""","163 lbs","England","1","0",3,2,"0","0","0","0","0",NA,NA,NA,"ipswich_town"
"Harrison Clarke2","D",23,"5' 11""","157 lbs","England","6","2",NA,NA,"0","4","1","2","1","0","1","1","ipswich_town"
"Leif Davis3","D",24,"6' 0""","152 lbs","England","17","0",NA,NA,"2","16","18","2","0","1","10","2","ipswich_town"
"Luke Woolfenden6","D",26,"6' 4""","152 lbs","England","5","1",NA,NA,"0","2","1","1","0","0","1","0","ipswich_town"
"Cameron Burgess15","D",29,"6' 4""","203 lbs","Australia","9","0",NA,NA,"1","2","2","0","0","0","9","1","ipswich_town"
"Ben Johnson18","D",24,"5' 9""","148 lbs","England","9","4",NA,NA,"1","9","3","1","0","0","1","1","ipswich_town"
"Conor Townsend22","D",31,"6' 0""","137 lbs","England","1","1",NA,NA,"0","0","0","0","0","0","0","0","ipswich_town"
"Jacob Greaves24","D",24,"6' 1""","152 lbs","England","8","0",NA,NA,"0","4","7","2","0","0","6","2","ipswich_town"
"Dara O'Shea26","D",25,"6' 2""","163 lbs","Republic of Ireland","14","0",NA,NA,"0","5","6","3","0","0","10","1","ipswich_town"
"Axel Tuanzebe40","D",27,"6' 1""","163 lbs","Congo DR","9","0",NA,NA,"0","6","4","3","0","0","3","0","ipswich_town"
"Janoi Donacien44","D",31,"6' 0""","163 lbs","St Lucia","--","--",NA,NA,"--","--","--","--","--","--","--","--","ipswich_town"
"Sam Morsy5","M",33,"5' 9""","152 lbs","Egypt","16","0",NA,NA,"1","28","16","5","0","1","7","1","ipswich_town"
"Kalvin Phillips8","M",29,"5' 10""","159 lbs","England","8","1",NA,NA,"0","16","14","2","1","0","5","1","ipswich_town"
"Jens Cajuste12","M",25,"6' 2""","170 lbs","Sweden","11","3",NA,NA,"0","10","7","2","0","0","3","0","ipswich_town"
"Jack Taylor14","M",26,"6' 1""","152 lbs","England","12","11",NA,NA,"0","8","2","3","0","1","10","4","ipswich_town"
"Sammie Szmodics23","M",29,"5' 6""","139 lbs","Republic of Ireland","15","4",NA,NA,"0","8","8","2","0","3","19","11","ipswich_town"
"Massimo Luongo25","M",32,"5' 9""","146 lbs","Australia","5","3",NA,NA,"0","1","2","0","0","0","0","0","ipswich_town"
"Wes Burns7","F",30,"5' 8""","150 lbs","Wales","14","5",NA,NA,"1","2","10","1","0","0","7","1","ipswich_town"
"Conor Chaplin10","F",27,"5' 6""","152 lbs","England","15","8",NA,NA,"1","9","5","1","0","1","11","3","ipswich_town"
"Ali Ibrahim Al-Hamadi16","F",22,"6' 0""","181 lbs","Iraq","8","8",NA,NA,"0","6","3","3","0","0","4","0","ipswich_town"
"Liam Delap19","F",21,"6' 1""","159 lbs","England","16","1",NA,NA,"1","36","21","5","0","6","28","12","ipswich_town"
"Omari Hutchinson20","F",21,"5' 9""","141 lbs","England","16","0",NA,NA,"1","13","24","4","0","1","22","7","ipswich_town"
"Chiedozie Ogbene21","F",27,"5' 11""","172 lbs","Republic of Ireland","5","2",NA,NA,"0","2","7","0","0","0","0","0","ipswich_town"
"George Hirst27","F",25,"6' 3""","183 lbs","England","8","7",NA,NA,"1","4","2","1","0","1","3","2","ipswich_town"
"Nathan Broadhead33","F",26,"5' 10""","161 lbs","Wales","3","3",NA,NA,"0","0","0","0","0","0","1","1","ipswich_town"
"Jack Clarke47","F",24,"5' 11""","161 lbs","England","14","10",NA,NA,"2","9","14","1","0","0","10","1","ipswich_town"
