"Name","POS","Age","HT","WT","NAT","APP","SUB","SV","GA","A","FC","FA","YC","RC","G","SH","ST","Team"
"Danny Ward1","G",31,"6' 3""","192 lbs","Wales","2","1","4","6","0","0","0","0","0",NA,NA,NA,"leicester_city"
"Mads Hermansen30","G",24,"6' 2""","179 lbs","Denmark","16","0","66","29","0","0","2","0","0",NA,NA,NA,"leicester_city"
"Daniel Iversen31","G",27,"6' 4""","174 lbs","Denmark","0","0","0","0","0","0","0","0","0",NA,NA,NA,"leicester_city"
"Jakub Stolarczyk41","G",24,"6' 4""","179 lbs","Poland","--","--","--","--","--","--","--","--","--",NA,NA,NA,"leicester_city"
"James Justin2","D",26,"6' 0""","174 lbs","England","16","0",NA,NA,"1","9","21","2","0","2","13","4","leicester_city"
"Wout Faes3","D",26,"6' 2""","183 lbs","Belgium","16","3",NA,NA,"0","10","5","2","0","1","7","1","leicester_city"
"Conor Coady4","D",31,"6' 1""","174 lbs","England","6","1",NA,NA,"0","2","0","1","0","0","0","0","leicester_city"
"Caleb Okoli5","D",23,"6' 3""","201 lbs","Italy","10","1",NA,NA,"0","7","7","2","0","0","4","2","leicester_city"
"Victor Kristiansen16","D",22,"5' 11""","161 lbs","Denmark","15","0",NA,NA,"1","10","11","1","0","0","1","1","leicester_city"
"Ricardo Pereira21","D",31,"5' 9""","152 lbs","Portugal","2","0",NA,NA,"0","1","3","1","0","0","0","0","leicester_city"
"Jannik Vestergaard23","D",32,"6' 6""","205 lbs","Denmark","9","1",NA,NA,"0","8","2","3","0","0","1","0","leicester_city"
"Luke Thomas33","D",23,"5' 11""","157 lbs","England","1","0",NA,NA,"0","0","1","0","0","0","1","0","leicester_city"
"Wilfred Ndidi6","M",28,"6' 0""","161 lbs","Nigeria","15","0",NA,NA,"4","25","7","4","0","0","12","6","leicester_city"
"Harry Winks8","M",28,"5' 10""","141 lbs","England","12","2",NA,NA,"2","5","7","3","0","0","7","2","leicester_city"
"Bilal El Khannouss11","M",20,"5' 11""","152 lbs","Morocco","12","5",NA,NA,"1","13","2","0","0","1","3","1","leicester_city"
"Hamza Choudhury17","M",27,"5' 10""","139 lbs","Bangladesh","3","2",NA,NA,"0","1","0","0","0","0","0","0","leicester_city"
"Oliver Skipp22","M",24,"5' 9""","152 lbs","England","11","4",NA,NA,"0","10","11","4","0","0","2","1","leicester_city"
"Boubakary Soumaré24","M",25,"6' 2""","152 lbs","France","10","4",NA,NA,"0","7","7","6","0","0","2","0","leicester_city"
"Michael Golding34","M",18,"5' 10""","161 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","leicester_city"
"Kasey McAteer35","M",23,"5' 10""","150 lbs","England","9","5",NA,NA,"1","6","8","0","0","0","6","2","leicester_city"
"Will Alves37","M",19,"6' 4""","183 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","leicester_city"
"Facundo Buonanotte40","M",20,"5' 9""","146 lbs","Argentina","14","4",NA,NA,"2","19","20","5","0","4","21","9","leicester_city"
"Henry Cartwright49","M",20,"--","--","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","leicester_city"
"Fatawu Issahaku7","F",20,"5' 10""","161 lbs","Ghana","11","5",NA,NA,"2","9","20","0","0","0","13","5","leicester_city"
"Jamie Vardy9","F",37,"5' 10""","161 lbs","England","16","0",NA,NA,"3","13","8","4","0","6","24","10","leicester_city"
"Stephy Mavididi10","F",26,"6' 0""","157 lbs","England","16","7",NA,NA,"0","12","12","2","0","2","13","4","leicester_city"
"Bobby De Cordova-Reid14","F",31,"5' 7""","150 lbs","Jamaica","12","10",NA,NA,"0","5","7","0","0","1","6","2","leicester_city"
"Jordan Ayew18","F",33,"6' 0""","174 lbs","Ghana","16","8",NA,NA,"0","17","25","4","0","3","18","5","leicester_city"
"Patson Daka20","F",26,"6' 0""","157 lbs","Zambia","5","5",NA,NA,"0","1","4","0","0","1","3","1","leicester_city"
"Odsonne Édouard29","F",26,"6' 2""","183 lbs","France","6","5",NA,NA,"0","6","0","0","0","0","5","1","leicester_city"
