"Name","POS","Age","HT","WT","NAT","APP","SUB","SV","GA","A","FC","FA","YC","RC","G","SH","ST","Team"
"Stefan Ortega18","G",32,"6' 1""","192 lbs","Germany","4","0","14","6","0","1","0","0","0",NA,NA,NA,"manchester_city"
"Ederson31","G",31,"6' 2""","190 lbs","Brazil","13","0","29","18","1","1","0","3","0",NA,NA,NA,"manchester_city"
"Scott Carson33","G",39,"6' 2""","185 lbs","England","0","0","0","0","0","0","0","0","0",NA,NA,NA,"manchester_city"
"Max Hudson69","G",17,"5' 11""","--","Wales","--","--","--","--","--","--","--","--","--",NA,NA,NA,"manchester_city"
"Kyle Walker2","D",34,"6' 0""","174 lbs","England","13","4",NA,NA,"0","5","5","2","0","0","5","2","manchester_city"
"Rúben Dias3","D",27,"6' 2""","168 lbs","Portugal","13","1",NA,NA,"0","6","3","3","0","0","14","4","manchester_city"
"John Stones5","D",30,"6' 2""","174 lbs","England","8","4",NA,NA,"0","2","1","1","0","2","2","2","manchester_city"
"Nathan Aké6","D",29,"5' 11""","163 lbs","Netherlands","5","2",NA,NA,"0","2","0","0","0","0","2","0","manchester_city"
"Josko Gvardiol24","D",22,"6' 1""","174 lbs","Croatia","16","1",NA,NA,"0","7","13","1","0","4","22","7","manchester_city"
"Manuel Akanji25","D",29,"6' 1""","201 lbs","Switzerland","13","0",NA,NA,"0","12","7","3","0","0","8","1","manchester_city"
"Kaden Braithwaite61","D",16,"6' 1""","163 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","manchester_city"
"Jahmai Simpson-Pusey66","D",19,"6' 2""","172 lbs","England","1","0",NA,NA,"0","0","1","1","0","0","0","0","manchester_city"
"Rico Lewis82","D",20,"5' 7""","139 lbs","England","15","2",NA,NA,"2","9","21","4","1","1","6","1","manchester_city"
"Josh Wilson-Esbrand97","D",21,"5' 9""","152 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","manchester_city"
"Mateo Kovacic8","M",30,"5' 10""","172 lbs","Croatia","13","2",NA,NA,"0","7","8","3","0","3","20","5","manchester_city"
"Jack Grealish10","M",29,"5' 11""","170 lbs","England","13","7",NA,NA,"1","3","20","3","0","0","11","4","manchester_city"
"Rodri16","M",28,"6' 3""","181 lbs","Spain","2","1",NA,NA,"0","1","2","0","0","0","0","0","manchester_city"
"Kevin De Bruyne17","M",33,"5' 11""","150 lbs","Belgium","10","3",NA,NA,"2","9","8","2","0","2","25","7","manchester_city"
"Ilkay Gündogan19","M",34,"5' 11""","174 lbs","Germany","16","3",NA,NA,"1","10","16","1","0","0","15","3","manchester_city"
"Bernardo Silva20","M",30,"5' 8""","141 lbs","Portugal","17","2",NA,NA,"4","11","13","4","0","1","20","6","manchester_city"
"Matheus Nunes27","M",26,"6' 0""","172 lbs","Portugal","12","6",NA,NA,"3","14","8","1","0","0","4","0","manchester_city"
"Phil Foden47","M",24,"5' 7""","139 lbs","England","12","4",NA,NA,"1","2","17","1","0","1","30","7","manchester_city"
"Oscar Bobb52","M",21,"5' 9""","152 lbs","Norway","--","--",NA,NA,"--","--","--","--","--","--","--","--","manchester_city"
"Jacob Wright56","M",19,"5' 10""","141 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","manchester_city"
"Nico O'Reilly75","M",19,"6' 2""","170 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","manchester_city"
"James McAtee87","M",22,"5' 11""","159 lbs","England","2","2",NA,NA,"0","0","0","0","0","0","0","0","manchester_city"
"Farid Alfa-Ruprecht","F",18,"5' 9""","163 lbs","Germany","--","--",NA,NA,"--","--","--","--","--","--","--","--","manchester_city"
"Erling Haaland9","F",24,"6' 4""","192 lbs","Norway","17","0",NA,NA,"1","13","10","2","0","13","74","36","manchester_city"
"Jérémy Doku11","F",22,"5' 8""","146 lbs","Belgium","13","6",NA,NA,"2","2","15","0","0","2","15","4","manchester_city"
"Savinho26","F",20,"5' 10""","146 lbs","Brazil","14","5",NA,NA,"2","10","11","2","0","0","18","7","manchester_city"
"Divin Mubama67","F",20,"6' 0""","--","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","manchester_city"
