"Name","POS","Age","HT","WT","NAT","APP","SUB","SV","GA","A","FC","FA","YC","RC","G","SH","ST","Team"
"Altay Bayindir1","G",26,"6' 6""","192 lbs","Turkey","0","0",0,0,"0","0","0","0","0",NA,NA,NA,"manchester_united"
"Tom Heaton22","G",38,"6' 2""","185 lbs","England","0","0",0,0,"0","0","0","0","0",NA,NA,NA,"manchester_united"
"André Onana24","G",28,"6' 3""","203 lbs","Cameroon","17","0",42,22,"0","0","2","0","0",NA,NA,NA,"manchester_united"
"Victor Lindelöf2","D",30,"6' 2""","174 lbs","Sweden","5","5",NA,NA,"0","2","0","1","0","0","0","0","manchester_united"
"Noussair Mazraoui3","D",27,"6' 0""","139 lbs","Morocco","17","2",NA,NA,"1","19","12","1","0","0","5","1","manchester_united"
"Matthijs de Ligt4","D",25,"6' 2""","194 lbs","Netherlands","16","3",NA,NA,"0","9","6","2","0","1","8","5","manchester_united"
"Harry Maguire5","D",31,"6' 4""","196 lbs","England","10","4",NA,NA,"0","7","2","4","0","0","1","0","manchester_united"
"Lisandro Martínez6","D",26,"5' 9""","159 lbs","Argentina","14","0",NA,NA,"1","13","4","5","0","0","12","3","manchester_united"
"Tyrell Malacia12","D",25,"5' 7""","148 lbs","Netherlands","2","0",NA,NA,"0","3","2","1","0","0","0","0","manchester_united"
"Leny Yoro15","D",19,"6' 3""","183 lbs","France","4","3",NA,NA,"0","0","0","0","0","0","2","1","manchester_united"
"Diogo Dalot20","D",25,"6' 0""","172 lbs","Portugal","17","0",NA,NA,"1","23","5","3","0","0","11","3","manchester_united"
"Luke Shaw23","D",29,"5' 10""","174 lbs","England","2","2",NA,NA,"0","0","0","0","0","0","0","0","manchester_united"
"Jonny Evans35","D",36,"6' 2""","170 lbs","Northern Ireland","6","3",NA,NA,"0","5","6","1","0","0","1","0","manchester_united"
"Harry Amass41","D",17,"5' 11""","157 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","manchester_united"
"Habeeb Ogunneye75","D",19,"5' 10""","139 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","manchester_united"
"Godwill Kukonki87","D",16,"6' 5""","--","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","manchester_united"
"Mason Mount7","M",25,"5' 11""","168 lbs","England","8","4",NA,NA,"0","8","4","2","0","0","3","2","manchester_united"
"Bruno Fernandes8","M",30,"5' 10""","146 lbs","Portugal","17","0",NA,NA,"5","13","20","1","1","4","50","12","manchester_united"
"Christian Eriksen14","M",32,"6' 0""","168 lbs","Denmark","9","3",NA,NA,"0","3","2","2","0","0","3","0","manchester_united"
"Casemiro18","M",32,"6' 1""","183 lbs","Brazil","12","3",NA,NA,"0","9","11","1","0","1","15","4","manchester_united"
"Manuel Ugarte25","M",23,"6' 0""","170 lbs","Uruguay","12","5",NA,NA,"0","20","10","4","0","0","3","0","manchester_united"
"Kobbie Mainoo37","M",19,"5' 9""","159 lbs","England","11","1",NA,NA,"0","15","17","5","0","0","6","1","manchester_united"
"Toby Collyer43","M",20,"5' 11""","161 lbs","England","1","1",NA,NA,"0","0","2","0","0","0","0","0","manchester_united"
"Daniel Gore44","M",20,"5' 7""","137 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","manchester_united"
"Jack Fletcher57","M",17,"5' 11""","172 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","manchester_united"
"Jayce Fitzgerald76","M",17,"5' 10""","152 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","manchester_united"
"Rasmus Højlund9","F",21,"6' 3""","190 lbs","Denmark","12","4",NA,NA,"0","6","12","1","0","2","10","5","manchester_united"
"Marcus Rashford10","F",27,"5' 11""","152 lbs","England","15","3",NA,NA,"1","8","7","2","0","4","16","8","manchester_united"
"Joshua Zirkzee11","F",23,"6' 4""","183 lbs","Netherlands","17","11",NA,NA,"1","5","2","1","0","3","16","8","manchester_united"
"Amad16","F",22,"5' 8""","159 lbs","Ivory Coast","15","5",NA,NA,"6","10","12","2","0","2","25","9","manchester_united"
"Alejandro Garnacho17","F",20,"5' 11""","161 lbs","Argentina","16","6",NA,NA,"1","5","19","1","0","3","37","16","manchester_united"
"Antony21","F",24,"5' 9""","139 lbs","Brazil","4","4",NA,NA,"0","1","1","0","0","0","3","2","manchester_united"
"Ethan Wheatley36","F",18,"6' 2""","168 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","manchester_united"
