"Name","POS","Age","HT","WT","NAT","APP","SUB","SV","GA","A","FC","FA","YC","RC","G","SH","ST","Team"
"Martin Dúbravka1","G",35,"6' 3""","183 lbs","Slovakia","2","0","3","0","0","0","0","0","0",NA,NA,NA,"newcastle_united"
"Odisseas Vlachodimos19","G",30,"6' 2""","172 lbs","Greece","0","0","0","0","0","0","0","0","0",NA,NA,NA,"newcastle_united"
"Nick Pope22","G",32,"6' 3""","168 lbs","England","15","0","54","20","0","0","0","2","0",NA,NA,NA,"newcastle_united"
"John Ruddy26","G",38,"6' 4""","212 lbs","England","0","0","0","0","0","0","0","0","0",NA,NA,NA,"newcastle_united"
"Mark Gillespie29","G",32,"6' 4""","183 lbs","England","--","--","--","--","--","--","--","--","--",NA,NA,NA,"newcastle_united"
"Kieran Trippier2","D",34,"5' 10""","157 lbs","England","9","6",NA,NA,"0","7","2","0","0","0","1","0","newcastle_united"
"Sven Botman4","D",24,"6' 4""","179 lbs","Netherlands","--","--",NA,NA,"--","--","--","--","--","--","--","--","newcastle_united"
"Fabian Schär5","D",33,"6' 1""","183 lbs","Switzerland","15","0",NA,NA,"0","11","6","4","1","2","14","2","newcastle_united"
"Jamaal Lascelles6","D",31,"6' 2""","194 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","newcastle_united"
"Matt Targett13","D",29,"6' 0""","152 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","newcastle_united"
"Emil Krafth17","D",30,"6' 0""","183 lbs","Sweden","3","1",NA,NA,"0","2","1","0","0","0","1","0","newcastle_united"
"Lewis Hall20","D",20,"5' 10""","161 lbs","England","17","3",NA,NA,"2","5","14","3","0","0","6","1","newcastle_united"
"Valentino Livramento21","D",22,"6' 0""","141 lbs","England","17","3",NA,NA,"0","4","17","0","0","0","1","0","newcastle_united"
"Lloyd Kelly25","D",26,"5' 10""","152 lbs","England","8","4",NA,NA,"1","4","5","2","0","0","2","0","newcastle_united"
"Dan Burn33","D",32,"6' 6""","192 lbs","England","16","0",NA,NA,"0","13","5","5","0","0","11","4","newcastle_united"
"Alex Murphy37","D",20,"6' 2""","172 lbs","Republic of Ireland","0","0",NA,NA,"0","0","0","0","0","0","0","0","newcastle_united"
"Isaac Hayden","M",29,"6' 1""","172 lbs","Jamaica","--","--",NA,NA,"--","--","--","--","--","--","--","--","newcastle_united"
"Sandro Tonali8","M",24,"5' 11""","172 lbs","Italy","15","7",NA,NA,"1","11","20","4","0","0","11","3","newcastle_united"
"Harvey Barnes11","M",27,"5' 9""","146 lbs","England","17","11",NA,NA,"1","8","11","0","0","5","26","9","newcastle_united"
"Jacob Murphy23","M",29,"5' 10""","161 lbs","England","14","4",NA,NA,"5","5","3","2","0","3","17","6","newcastle_united"
"Miguel Almirón24","M",30,"5' 9""","152 lbs","Paraguay","7","6",NA,NA,"0","1","3","0","0","0","4","1","newcastle_united"
"Joe Willock28","M",25,"5' 10""","157 lbs","England","14","8",NA,NA,"1","9","8","2","0","0","9","1","newcastle_united"
"Sean Longstaff36","M",27,"5' 11""","141 lbs","England","16","8",NA,NA,"0","8","5","2","0","0","6","1","newcastle_united"
"Bruno Guimarães39","M",27,"6' 0""","161 lbs","Brazil","17","0",NA,NA,"4","25","61","3","0","1","20","5","newcastle_united"
"Lewis Miley67","M",18,"6' 1""","159 lbs","England","1","1",NA,NA,"0","0","0","0","0","0","0","0","newcastle_united"
"Joelinton7","F",28,"6' 1""","179 lbs","Brazil","16","0",NA,NA,"0","35","18","5","0","2","26","8","newcastle_united"
"Callum Wilson9","F",32,"5' 11""","146 lbs","England","4","4",NA,NA,"0","0","1","1","0","0","0","0","newcastle_united"
"Anthony Gordon10","F",23,"6' 0""","159 lbs","England","16","1",NA,NA,"3","10","38","1","0","3","30","12","newcastle_united"
"Alexander Isak14","F",25,"6' 4""","170 lbs","Sweden","15","0",NA,NA,"4","12","6","0","0","10","44","20","newcastle_united"
"William Osula18","F",21,"5' 11""","179 lbs","Denmark","5","5",NA,NA,"0","1","0","0","0","0","0","0","newcastle_united"
"Garang Kuol38","F",20,"5' 9""","150 lbs","Australia","--","--",NA,NA,"--","--","--","--","--","--","--","--","newcastle_united"
