"Name","POS","Age","HT","WT","NAT","APP","SUB","SV","GA","A","FC","FA","YC","RC","G","SH","ST","Team"
"Matz Sels26","G",32,"6' 2""","163 lbs","Belgium","17","0",47,19,"0","0","6","2","0",NA,NA,NA,"nottingham_forest"
"Carlos Miguel33","G",26,"6' 8""","205 lbs","Brazil","0","0",0,0,"0","0","0","0","0",NA,NA,NA,"nottingham_forest"
"Morato4","D",23,"6' 4""","192 lbs","Brazil","10","9",NA,NA,"0","2","0","0","0","0","0","0","nottingham_forest"
"Murillo5","D",22,"5' 11""","163 lbs","Brazil","17","0",NA,NA,"0","11","2","3","0","1","14","3","nottingham_forest"
"Neco Williams7","D",23,"6' 0""","159 lbs","Wales","14","7",NA,NA,"1","6","10","4","0","0","14","3","nottingham_forest"
"Andrew Omobamidele12","D",22,"6' 2""","172 lbs","Republic of Ireland","0","0",NA,NA,"0","0","0","0","0","0","0","0","nottingham_forest"
"Harry Toffolo15","D",29,"6' 0""","157 lbs","England","2","2",NA,NA,"0","0","0","0","0","0","1","0","nottingham_forest"
"Álex Moreno19","D",31,"5' 10""","150 lbs","Spain","11","1",NA,NA,"1","11","5","2","0","0","5","0","nottingham_forest"
"Willy Boly30","D",33,"6' 5""","203 lbs","Ivory Coast","3","2",NA,NA,"0","1","0","0","0","0","1","1","nottingham_forest"
"Nikola Milenkovic31","D",27,"6' 5""","196 lbs","Serbia","16","0",NA,NA,"1","8","3","2","0","2","17","4","nottingham_forest"
"Ola Aina34","D",28,"6' 0""","181 lbs","Nigeria","17","0",NA,NA,"0","9","19","2","0","2","6","2","nottingham_forest"
"Zach Abbott44","D",18,"5' 11""","152 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","nottingham_forest"
"Ibrahim Sangaré6","M",27,"6' 3""","170 lbs","Ivory Coast","3","0",NA,NA,"0","4","4","2","0","0","1","1","nottingham_forest"
"Elliot Anderson8","M",22,"5' 10""","150 lbs","England","16","4",NA,NA,"5","18","24","3","0","0","20","4","nottingham_forest"
"Morgan Gibbs-White10","M",24,"5' 7""","146 lbs","England","13","0",NA,NA,"2","20","14","5","1","2","24","10","nottingham_forest"
"Nicolás Domínguez16","M",26,"5' 10""","161 lbs","Argentina","15","6",NA,NA,"0","17","7","5","0","0","11","4","nottingham_forest"
"James Ward-Prowse18","M",30,"5' 8""","146 lbs","England","7","2",NA,NA,"0","4","2","1","1","0","2","0","nottingham_forest"
"Ryan Yates22","M",27,"6' 3""","192 lbs","England","17","5",NA,NA,"0","31","33","4","0","1","24","6","nottingham_forest"
"Danilo28","M",23,"5' 9""","150 lbs","Brazil","1","0",NA,NA,"0","1","0","0","0","0","0","0","nottingham_forest"
"Ben Perry59","M",20,"6' 0""","163 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","nottingham_forest"
"Taiwo Awoniyi9","F",27,"6' 0""","183 lbs","Nigeria","12","10",NA,NA,"0","6","6","0","0","0","4","1","nottingham_forest"
"Chris Wood11","F",33,"6' 3""","179 lbs","New Zealand","17","1",NA,NA,"0","11","10","1","0","10","29","17","nottingham_forest"
"Callum Hudson-Odoi14","F",24,"6' 0""","168 lbs","England","16","2",NA,NA,"1","7","10","1","0","2","22","8","nottingham_forest"
"Eric Da Silva Moreira17","F",18,"6' 0""","181 lbs","Germany","2","2",NA,NA,"0","0","0","0","0","0","0","0","nottingham_forest"
"Jota Silva20","F",25,"5' 10""","170 lbs","Portugal","16","13",NA,NA,"1","12","15","3","0","0","8","2","nottingham_forest"
"Anthony Elanga21","F",22,"5' 10""","152 lbs","Sweden","17","6",NA,NA,"2","3","16","1","0","2","15","6","nottingham_forest"
"Ramón Sosa24","F",25,"5' 10""","163 lbs","Paraguay","10","10",NA,NA,"0","5","1","0","0","1","6","2","nottingham_forest"
"Emmanuel Dennis25","F",27,"5' 9""","148 lbs","Nigeria","--","--",NA,NA,"--","--","--","--","--","--","--","--","nottingham_forest"
