"Name","POS","Age","HT","WT","NAT","APP","SUB","SV","GA","A","FC","FA","YC","RC","G","SH","ST","Team"
"Alex McCarthy1","G",35,"6' 4""","172 lbs","England","4","0","19","10","0","0","1","0","0",NA,NA,NA,"southampton"
"Joe Lumley13","G",29,"6' 3""","161 lbs","England","3","0","13","7","0","0","0","0","0",NA,NA,NA,"southampton"
"Aaron Ramsdale30","G",26,"6' 3""","192 lbs","England","10","0","41","19","0","0","2","1","0",NA,NA,NA,"southampton"
"Gavin Bazunu31","G",22,"6' 2""","172 lbs","Republic of Ireland","--","--","--","--","--","--","--","--","--",NA,NA,NA,"southampton"
"Kyle Walker-Peters2","D",27,"5' 8""","137 lbs","England","15","0",NA,NA,"2","14","28","3","0","0","11","3","southampton"
"Ryan Manning3","D",28,"5' 8""","146 lbs","Republic of Ireland","9","0",NA,NA,"0","9","17","1","0","0","3","0","southampton"
"Jack Stephens5","D",30,"6' 1""","163 lbs","England","10","0",NA,NA,"0","8","2","2","2","0","2","0","southampton"
"Taylor Harwood-Bellis6","D",22,"6' 2""","181 lbs","England","16","1",NA,NA,"0","17","8","5","0","1","10","3","southampton"
"Ronnie Edwards12","D",21,"5' 11""","168 lbs","England","1","1",NA,NA,"0","0","0","0","0","0","0","0","southampton"
"James Bree14","D",27,"5' 10""","161 lbs","England","4","2",NA,NA,"0","0","1","0","0","0","0","0","southampton"
"Nathan Wood15","D",22,"6' 2""","163 lbs","England","4","1",NA,NA,"0","3","3","1","0","0","1","0","southampton"
"Yukinari Sugawara16","D",24,"5' 10""","150 lbs","Japan","15","5",NA,NA,"1","5","9","3","0","1","8","2","southampton"
"Charlie Taylor21","D",31,"5' 9""","152 lbs","England","6","4",NA,NA,"0","2","2","1","0","0","0","0","southampton"
"Juan Larios28","D",20,"5' 7""","150 lbs","Spain","--","--",NA,NA,"--","--","--","--","--","--","--","--","southampton"
"Jan Bednarek35","D",28,"6' 2""","183 lbs","Poland","13","0",NA,NA,"0","12","6","3","0","0","1","0","southampton"
"Armel Bella-Kotchap37","D",23,"6' 3""","192 lbs","Germany","--","--",NA,NA,"--","--","--","--","--","--","--","--","southampton"
"Jayden Moore57","D",18,"6' 0""","150 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","southampton"
"Flynn Downes4","M",25,"5' 8""","152 lbs","England","15","0",NA,NA,"0","30","27","7","0","1","5","2","southampton"
"Joe Aribo7","M",28,"6' 0""","168 lbs","Nigeria","16","7",NA,NA,"0","11","17","0","0","2","12","5","southampton"
"William Smallbone8","M",24,"6' 0""","157 lbs","Republic of Ireland","4","1",NA,NA,"0","4","1","0","0","0","4","0","southampton"
"Adam Lallana10","M",36,"5' 8""","161 lbs","England","8","3",NA,NA,"2","7","7","4","0","0","3","0","southampton"
"Mateus Fernandes18","M",20,"5' 10""","159 lbs","Portugal","16","2",NA,NA,"1","21","20","4","0","1","15","5","southampton"
"Kamaldeen Sulemana20","M",22,"5' 9""","152 lbs","Ghana","6","5",NA,NA,"0","1","1","0","0","0","1","0","southampton"
"Ryan Fraser24","M",30,"5' 4""","152 lbs","Scotland","7","3",NA,NA,"0","1","4","0","1","0","1","1","southampton"
"Lesley Ugochukwu26","M",20,"6' 3""","159 lbs","France","7","5",NA,NA,"0","5","3","2","0","0","1","0","southampton"
"Samuel Amo-Ameyaw27","M",18,"5' 9""","139 lbs","England","2","2",NA,NA,"0","1","2","1","0","0","1","0","southampton"
"Tyler Dibling33","M",18,"5' 10""","159 lbs","England","16","5",NA,NA,"0","18","33","5","0","1","13","6","southampton"
"Romeo Akachukwu54","M",18,"5' 10""","161 lbs","--","--","--",NA,NA,"--","--","--","--","--","--","--","--","southampton"
"Joseph O'Brien-Whitmarsh60","M",19,"5' 8""","161 lbs","--","0","0",NA,NA,"0","0","0","0","0","0","0","0","southampton"
"Adam Armstrong9","F",27,"5' 8""","150 lbs","England","14","3",NA,NA,"1","10","3","4","0","2","20","6","southampton"
"Ross Stewart11","F",28,"6' 2""","185 lbs","Scotland","4","3",NA,NA,"0","3","5","1","0","0","2","0","southampton"
"Ben Brereton Díaz17","F",25,"6' 1""","174 lbs","Chile","10","6",NA,NA,"0","4","8","1","0","0","11","1","southampton"
"Cameron Archer19","F",23,"5' 11""","159 lbs","England","17","8",NA,NA,"0","6","8","0","0","2","21","6","southampton"
"Maxwel Cornet22","F",28,"5' 10""","150 lbs","Ivory Coast","2","1",NA,NA,"0","0","1","1","0","0","1","0","southampton"
"Paul Onuachu32","F",30,"6' 7""","214 lbs","Nigeria","7","6",NA,NA,"0","4","5","1","0","0","5","1","southampton"
"Jay Robinson46","F",17,"5' 9""","141 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","southampton"
