"Name","POS","Age","HT","WT","NAT","APP","SUB","SV","GA","A","FC","FA","YC","RC","G","SH","ST","Team"
"Guglielmo Vicario1","G",28,"6' 4""","183 lbs","Italy","12","0","29","13","0","0","1","1","0",NA,NA,NA,"tottenham_hotspur"
"Fraser Forster20","G",36,"6' 7""","203 lbs","England","5","0","26","12","0","0","0","0","0",NA,NA,NA,"tottenham_hotspur"
"Brandon Austin40","G",25,"6' 2""","181 lbs","England","0","0","0","0","0","0","0","0","0",NA,NA,NA,"tottenham_hotspur"
"Alfie Whiteman41","G",26,"6' 2""","183 lbs","England","--","--","--","--","--","--","--","--","--",NA,NA,NA,"tottenham_hotspur"
"Sergio Reguilón3","D",28,"5' 10""","150 lbs","Spain","0","0",NA,NA,"0","0","0","0","0","0","0","0","tottenham_hotspur"
"Radu Dragusin6","D",22,"6' 3""","185 lbs","Romania","10","2",NA,NA,"0","3","7","0","0","0","3","1","tottenham_hotspur"
"Destiny Udogie13","D",22,"6' 1""","161 lbs","Italy","16","0",NA,NA,"1","20","27","2","0","0","5","1","tottenham_hotspur"
"Cristian Romero17","D",26,"6' 1""","172 lbs","Argentina","12","0",NA,NA,"0","7","9","1","0","1","11","4","tottenham_hotspur"
"Pedro Porro23","D",25,"5' 8""","150 lbs","Spain","17","2",NA,NA,"2","10","17","2","0","2","25","6","tottenham_hotspur"
"Djed Spence24","D",24,"6' 1""","157 lbs","England","6","4",NA,NA,"1","1","0","1","0","0","1","0","tottenham_hotspur"
"Ben Davies33","D",31,"5' 11""","170 lbs","Wales","4","1",NA,NA,"0","2","1","1","0","0","0","0","tottenham_hotspur"
"Micky van de Ven37","D",23,"6' 4""","179 lbs","Netherlands","9","0",NA,NA,"2","8","6","4","0","0","5","1","tottenham_hotspur"
"Alfie Dorrington48","D",19,"5' 11""","163 lbs","England","1","1",NA,NA,"0","0","0","0","0","0","0","0","tottenham_hotspur"
"Dante Cassanova59","D",20,"5' 10""","146 lbs","Jamaica","--","--",NA,NA,"--","--","--","--","--","--","--","--","tottenham_hotspur"
"Maeson King74","D",19,"--","--","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","tottenham_hotspur"
"Malachi Hardy79","D",16,"6' 2""","172 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","tottenham_hotspur"
"Yves Bissouma8","M",28,"6' 0""","174 lbs","Mali","13","4",NA,NA,"0","14","14","5","0","2","4","2","tottenham_hotspur"
"James Maddison10","M",28,"5' 9""","161 lbs","England","17","3",NA,NA,"4","15","40","3","0","8","27","16","tottenham_hotspur"
"Archie Gray14","M",18,"6' 2""","152 lbs","England","10","7",NA,NA,"0","2","3","0","0","0","1","1","tottenham_hotspur"
"Lucas Bergvall15","M",18,"6' 2""","161 lbs","Sweden","11","10",NA,NA,"0","7","2","2","0","0","2","0","tottenham_hotspur"
"Dejan Kulusevski21","M",24,"6' 1""","174 lbs","Sweden","17","2",NA,NA,"3","22","25","3","0","5","28","11","tottenham_hotspur"
"Pape Matar Sarr29","M",22,"6' 1""","152 lbs","Senegal","17","7",NA,NA,"2","18","20","3","0","1","16","7","tottenham_hotspur"
"Rodrigo Bentancur30","M",27,"6' 2""","159 lbs","Uruguay","10","3",NA,NA,"1","13","3","4","0","1","11","2","tottenham_hotspur"
"Callum Olusesi64","M",17,"5' 9""","141 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","tottenham_hotspur"
"Son Heung-Min7","F",32,"6' 0""","172 lbs","South Korea","14","1",NA,NA,"6","3","11","0","0","5","31","16","tottenham_hotspur"
"Richarlison9","F",27,"6' 0""","183 lbs","Brazil","5","5",NA,NA,"1","1","2","1","0","0","1","0","tottenham_hotspur"
"Timo Werner16","F",28,"5' 11""","163 lbs","Germany","14","11",NA,NA,"3","2","5","0","0","0","8","3","tottenham_hotspur"
"Dominic Solanke19","F",27,"6' 2""","174 lbs","England","14","0",NA,NA,"3","22","19","0","0","6","33","17","tottenham_hotspur"
"Brennan Johnson22","F",23,"6' 1""","161 lbs","Wales","17","4",NA,NA,"2","12","10","3","0","6","37","12","tottenham_hotspur"
"Wilson Odobert28","F",20,"6' 0""","168 lbs","France","3","1",NA,NA,"0","0","2","0","0","0","6","0","tottenham_hotspur"
"Will Lankshear42","F",19,"6' 2""","174 lbs","England","2","2",NA,NA,"0","0","0","0","0","0","0","0","tottenham_hotspur"
"Mikey Moore47","F",17,"5' 11""","163 lbs","England","4","3",NA,NA,"0","0","3","0","0","0","1","0","tottenham_hotspur"
"Damola Ajayi63","F",18,"5' 9""","163 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","tottenham_hotspur"
"Luca Williams-Barnett78","F",16,"5' 9""","--","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","tottenham_hotspur"
