"Name","POS","Age","HT","WT","NAT","APP","SUB","SV","GA","A","FC","FA","YC","RC","G","SH","ST","Team"
"Lukasz Fabianski1","G",39,"6' 3""","183 lbs","Poland",10,1,37,16,0,1,0,2,0,NA,NA,NA,"west_ham_united"
"Wes Foderingham21","G",33,"6' 1""","163 lbs","England",0,0,0,0,0,0,0,0,0,NA,NA,NA,"west_ham_united"
"Alphonse Areola23","G",31,"6' 5""","205 lbs","France",8,0,20,13,0,0,0,0,0,NA,NA,NA,"west_ham_united"
"Aaron Cresswell3","D",35,"5' 7""","146 lbs","England",5,5,NA,NA,0,1,0,1,0,0,1,0,"west_ham_united"
"Vladimír Coufal5","D",32,"5' 9""","168 lbs","Czechia",10,6,NA,NA,0,12,6,2,0,0,3,0,"west_ham_united"
"Konstantinos Mavropanos15","D",27,"6' 4""","205 lbs","Greece",14,3,NA,NA,0,7,8,2,0,0,11,2,"west_ham_united"
"Jean-Clair Todibo25","D",24,"6' 4""","192 lbs","France",12,5,NA,NA,0,6,3,0,0,0,2,0,"west_ham_united"
"Max Kilman26","D",27,"6' 4""","194 lbs","England",17,0,NA,NA,1,8,6,3,0,0,10,2,"west_ham_united"
"Aaron Wan-Bissaka29","D",27,"6' 0""","159 lbs","England",16,1,NA,NA,0,12,8,0,0,2,7,3,"west_ham_united"
"Emerson33","D",30,"5' 9""","139 lbs","Italy",16,1,NA,NA,1,14,6,5,0,1,8,3,"west_ham_united"
"Kaelan Casey42","D",20,"6' 1""","152 lbs","England",1,1,NA,NA,0,0,0,0,0,0,0,0,"west_ham_united"
"Oliver Scarles57","D",19,"6' 0""","163 lbs","England",2,2,NA,NA,0,0,0,0,0,0,0,0,"west_ham_united"
"Ezra Mayers63","D",17,"6' 0""","--","England",0,0,NA,NA,0,0,0,0,0,0,0,0,"west_ham_united"
"Carlos Soler4","M",27,"5' 11""","168 lbs","Spain",13,7,NA,NA,1,16,7,5,0,0,14,2,"west_ham_united"
"Lucas Paquetá10","M",27,"5' 11""","159 lbs","Brazil",17,3,NA,NA,0,26,19,5,0,3,23,4,"west_ham_united"
"Mohammed Kudus14","M",24,"5' 10""","152 lbs","Ghana",12,0,NA,NA,1,14,25,0,1,3,36,13,"west_ham_united"
"Edson Álvarez19","M",27,"6' 2""","161 lbs","Mexico",13,4,NA,NA,0,15,10,5,1,0,7,1,"west_ham_united"
"Guido Rodríguez24","M",30,"6' 1""","174 lbs","Argentina",15,4,NA,NA,0,12,6,4,0,0,7,1,"west_ham_united"
"Tomás Soucek28","M",29,"6' 4""","190 lbs","Czechia",16,3,NA,NA,0,19,10,4,0,4,29,7,"west_ham_united"
"Andrew Irving39","M",24,"6' 3""","146 lbs","Scotland",5,5,NA,NA,0,2,0,1,0,0,0,0,"west_ham_united"
"Lewis Orford61","M",18,"6' 2""","161 lbs","England",0,0,NA,NA,0,0,0,0,0,0,0,0,"west_ham_united"
"Crysencio Summerville7","F",23,"5' 9""","139 lbs","Netherlands",16,10,NA,NA,1,6,16,2,0,1,10,1,"west_ham_united"
"Michail Antonio9","F",34,"5' 11""","181 lbs","Jamaica",14,3,NA,NA,1,9,7,1,0,1,19,4,"west_ham_united"
"Niclas Füllkrug11","F",31,"6' 2""","183 lbs","Germany",6,5,NA,NA,0,6,0,0,0,1,5,2,"west_ham_united"
"Luis Guilherme17","F",18,"5' 10""","161 lbs","Brazil",2,2,NA,NA,0,0,2,0,0,0,0,0,"west_ham_united"
"Danny Ings18","F",32,"5' 10""","161 lbs","England",9,8,NA,NA,1,0,1,0,0,1,10,5,"west_ham_united"
"Jarrod Bowen20","F",28,"5' 9""","152 lbs","England",17,0,NA,NA,4,12,19,1,0,4,43,20,"west_ham_united"
