"Name","POS","Age","HT","WT","NAT","APP","SUB","SV","GA","A","FC","FA","YC","RC","G","SH","ST","Team"
"José Sá1","G",31,"6' 4""","183 lbs","Portugal","10","0","31","21","0","2","5","1","0",NA,NA,NA,"wolverhampton_wanderers"
"Daniel Bentley25","G",31,"6' 2""","161 lbs","England","0","0","0","0","0","0","0","0","0",NA,NA,NA,"wolverhampton_wanderers"
"Sam Johnstone31","G",31,"6' 4""","185 lbs","England","7","0","23","16","0","0","0","0","0",NA,NA,NA,"wolverhampton_wanderers"
"Tom King40","G",29,"6' 4""","174 lbs","Wales","--","--","--","--","--","--","--","--","--",NA,NA,NA,"wolverhampton_wanderers"
"Matt Doherty2","D",32,"6' 1""","174 lbs","Republic of Ireland","10","4",NA,NA,"1","6","4","1","0","1","7","2","wolverhampton_wanderers"
"Rayan Aït-Nouri3","D",23,"5' 11""","152 lbs","Algeria","16","0",NA,NA,"3","18","18","5","1","3","15","4","wolverhampton_wanderers"
"Santiago Bueno4","D",26,"6' 3""","168 lbs","Uruguay","10","1",NA,NA,"0","14","2","0","0","0","2","1","wolverhampton_wanderers"
"Yerson Mosquera14","D",23,"6' 2""","168 lbs","Colombia","5","0",NA,NA,"0","6","7","2","0","0","2","0","wolverhampton_wanderers"
"Craig Dawson15","D",34,"6' 2""","181 lbs","England","13","4",NA,NA,"0","5","4","2","0","0","6","3","wolverhampton_wanderers"
"Nélson Semedo22","D",31,"5' 10""","150 lbs","Portugal","14","0",NA,NA,"3","21","11","5","0","0","7","3","wolverhampton_wanderers"
"Toti Gomes24","D",25,"6' 2""","159 lbs","Portugal","15","1",NA,NA,"1","11","8","4","0","0","2","0","wolverhampton_wanderers"
"Bastien Meupiyou33","D",18,"6' 3""","174 lbs","France","0","0",NA,NA,"0","0","0","0","0","0","0","0","wolverhampton_wanderers"
"Pedro Lima37","D",18,"5' 9""","150 lbs","Brazil","0","0",NA,NA,"0","0","0","0","0","0","0","0","wolverhampton_wanderers"
"Alfie Pond46","D",20,"6' 3""","190 lbs","England","1","1",NA,NA,"0","0","0","0","0","0","0","0","wolverhampton_wanderers"
"Mario Lemina5","M",31,"6' 0""","185 lbs","Gabon","16","1",NA,NA,"3","17","8","4","0","1","18","5","wolverhampton_wanderers"
"Boubacar Traoré6","M",23,"6' 0""","148 lbs","Mali","0","0",NA,NA,"0","0","0","0","0","0","0","0","wolverhampton_wanderers"
"André7","M",23,"5' 9""","170 lbs","Brazil","13","2",NA,NA,"0","9","16","2","0","0","2","1","wolverhampton_wanderers"
"João Gomes8","M",23,"5' 9""","161 lbs","Brazil","16","0",NA,NA,"1","38","15","5","0","2","18","6","wolverhampton_wanderers"
"Tommy Doyle20","M",23,"5' 8""","161 lbs","England","13","11",NA,NA,"1","4","3","0","0","0","7","2","wolverhampton_wanderers"
"Pablo Sarabia21","M",32,"5' 9""","152 lbs","Spain","5","3",NA,NA,"0","1","4","1","0","1","3","3","wolverhampton_wanderers"
"Jean-Ricner Bellegarde27","M",26,"5' 7""","152 lbs","France","15","6",NA,NA,"2","13","19","2","0","1","9","2","wolverhampton_wanderers"
"Luke Cundle34","M",22,"5' 7""","137 lbs","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","wolverhampton_wanderers"
"Luke Rawlings62","M",16,"5' 10""","152 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","wolverhampton_wanderers"
"Jørgen Strand Larsen9","F",24,"6' 4""","172 lbs","Norway","17","0",NA,NA,"2","22","10","2","0","6","26","16","wolverhampton_wanderers"
"Matheus Cunha10","F",25,"6' 0""","168 lbs","Brazil","17","1",NA,NA,"3","22","30","2","0","9","48","17","wolverhampton_wanderers"
"Hwang Hee-Chan11","F",28,"5' 10""","170 lbs","South Korea","11","9",NA,NA,"0","1","6","0","0","0","0","0","wolverhampton_wanderers"
"Sasa Kalajdzic18","F",27,"6' 7""","196 lbs","Austria","--","--",NA,NA,"--","--","--","--","--","--","--","--","wolverhampton_wanderers"
"Rodrigo Gomes19","F",21,"5' 9""","148 lbs","Portugal","10","6",NA,NA,"0","0","3","0","0","1","3","1","wolverhampton_wanderers"
"Carlos Forbs26","F",20,"5' 7""","137 lbs","Portugal","7","6",NA,NA,"0","2","1","2","0","0","2","0","wolverhampton_wanderers"
"Goncalo Guedes29","F",28,"5' 10""","150 lbs","Portugal","14","12",NA,NA,"4","5","7","1","0","2","8","5","wolverhampton_wanderers"
"Enso González30","F",19,"5' 7""","150 lbs","Paraguay","--","--",NA,NA,"--","--","--","--","--","--","--","--","wolverhampton_wanderers"
"Nathan Fraser63","F",19,"6' 2""","181 lbs","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","wolverhampton_wanderers"
"Tom Edozie74","F",18,"5' 10""","--","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","wolverhampton_wanderers"
